cliente;prodotto;anno_mese;grossvalue
C000927;M000464;202301;5072,04
C001935;M000137;202305;4205,82
C001657;M000204;202411;3339,59
C000989;M000458;202301;6173,04
C000828;M000106;202302;1104,88
C001412;M000335;202409;6386,41
C001006;M000071;202402;2301,73
C001363;M000276;202312;3754,56
C000356;M000496;202405;1270,93
C000381;M000065;202406;5916,44
C000306;M000010;202401;3627,81
C000919;M000440;202410;3010,42
C000988;M000089;202406;6162,02
C000337;M000237;202405;9145,22
C000971;M000013;202408;3384,27
C000441;M000258;202306;1549,83
C001440;M000427;202306;8887,03
C000674;M000338;202301;2757,5
C001812;M000041;202306;8716,79
C001931;M000161;202411;5047,76
C000227;M000054;202306;8917,95
C001168;M000086;202407;8890,67
C000408;M000252;202309;6858,27
C001843;M000273;202401;4231,96
C001248;M000024;202406;9360,41
C000233;M000355;202402;9102,89
C001759;M000120;202409;345,36
C001955;M000226;202405;2213,57
C000689;M000470;202305;2167,53
C000425;M000415;202410;4830,65
C000868;M000084;202303;7555,59
C001967;M000241;202310;6421,18
C001235;M000369;202408;321,26
C001002;M000469;202402;9257,75
C000890;M000012;202401;3386,94
C000783;M000024;202404;4816,31
C001186;M000200;202410;3369,89
C000753;M000387;202306;9375,88
C000652;M000323;202303;8328,35
C001488;M000170;202402;8861,5
C001448;M000032;202303;5830,98
C000346;M000164;202410;7837,28
C000613;M000304;202305;4737,19
C001796;M000165;202409;8477,35
C000096;M000290;202310;5051,74
C000461;M000022;202307;2382,98
C000837;M000083;202404;7157,21
C001159;M000020;202311;7465,89
C000836;M000113;202311;8111,88
C001535;M000034;202309;8072,29
C001655;M000338;202303;1542,58
C001159;M000078;202406;666,09
C001333;M000308;202301;5707,82
C000465;M000172;202408;7429,07
C001398;M000185;202401;5107,95
C000794;M000006;202401;4402,19
C001019;M000127;202305;8722,55
C001615;M000155;202406;4284,28
C001673;M000452;202302;9312,26
C001084;M000363;202406;1858,94
C000661;M000010;202308;360,73
C001846;M000128;202306;6393,29
C000411;M000363;202312;2613,13
C000975;M000276;202307;6890,79
C000083;M000250;202302;4685,94
C001003;M000085;202409;8136,75
C001243;M000081;202305;1312,52
C000735;M000041;202407;6476,61
C001442;M000419;202301;2417,59
C001163;M000385;202312;1640,15
C000837;M000477;202401;370,92
C001302;M000488;202312;9609,98
C001931;M000024;202309;2791,6
C001492;M000365;202306;3729,03
C000836;M000296;202406;4648,82
C001220;M000233;202412;9321,95
C000269;M000450;202411;3673,36
C001259;M000146;202301;9775,43
C000814;M000281;202311;4702,63
C001358;M000203;202409;3118,58
C000056;M000358;202304;7440,17
C001299;M000087;202412;3676,94
C001706;M000488;202408;9597,22
C000403;M000370;202408;3099,71
C001156;M000170;202310;2318,17
C000757;M000289;202408;2453,08
C001367;M000202;202303;4270,9
C001808;M000491;202308;5198,55
C000716;M000473;202302;8808,18
C001318;M000298;202308;4707,58
C001901;M000239;202402;7361,68
C001590;M000065;202411;7671,79
C000874;M000071;202409;6287,43
C000306;M000114;202407;3824,2
C000705;M000365;202407;4561,28
C001199;M000438;202310;3325,48
C001037;M000366;202309;5804,24
C001988;M000343;202410;5279,84
C001496;M000355;202307;8953,08
C000262;M000340;202404;2443,33
C000543;M000392;202405;9599,41
C000721;M000326;202410;4475,05
C001171;M000321;202406;5365,4
C001635;M000091;202410;4247,8
C000224;M000377;202409;6998,64
C000449;M000409;202412;5841,47
C001871;M000138;202308;3407,96
C000736;M000368;202311;4653,11
C000840;M000045;202409;5443,6
C001294;M000301;202407;8064,04
C000957;M000362;202308;6254,17
C000327;M000093;202402;7908,08
C001077;M000121;202302;7787,34
C001777;M000056;202310;4592,31
C000349;M000490;202411;273,88
C000286;M000282;202307;971,5
C000336;M000221;202406;1150,26
C000912;M000126;202409;8076,18
C001667;M000422;202302;9840,31
C000087;M000332;202406;4761,26
C001718;M000194;202409;3302,74
C001288;M000433;202301;7441,68
C000519;M000298;202302;383,95
C001126;M000148;202411;1645,89
C001403;M000268;202401;8949,44
C001567;M000395;202309;5065,76
C000492;M000192;202412;6245,47
C001679;M000116;202405;4995,68
C000454;M000023;202304;8548,97
C000366;M000120;202402;2479,41
C000125;M000392;202310;678,04
C001691;M000339;202302;1885,97
C000828;M000409;202410;4081,55
C000848;M000248;202403;940,33
C001425;M000176;202409;2726,19
C001322;M000057;202401;6276,14
C000667;M000011;202302;4610,61
C000786;M000176;202310;9325,41
C001605;M000127;202308;3585,44
C001085;M000146;202408;2295,99
C001146;M000253;202308;8751,2
C001781;M000477;202406;8326,33
C000212;M000435;202410;7748,99
C000746;M000380;202412;4956,21
C000904;M000306;202405;1939,08
C001430;M000153;202301;5790,58
C000887;M000383;202401;1899,53
C000942;M000472;202311;8958,27
C000510;M000435;202410;9118,1
C000676;M000079;202412;810,66
C001948;M000485;202312;9254,46
C001307;M000142;202308;9836,25
C001414;M000110;202405;1628,44
C001729;M000343;202310;4645,99
C001333;M000258;202410;5310,25
C000497;M000296;202407;5949,69
C000165;M000269;202301;3003,09
C000849;M000249;202309;4348,26
C001520;M000020;202308;8025,03
C000908;M000017;202406;7384,84
C000958;M000364;202305;5331,08
C000960;M000044;202403;4782,9
C001737;M000463;202405;6821,59
C000238;M000302;202308;452,43
C001181;M000060;202407;1274,87
C000548;M000316;202406;5159,41
C000002;M000277;202307;8314,45
C001159;M000379;202403;678,29
C000585;M000036;202412;8161,22
C000393;M000428;202404;1705,31
C001538;M000008;202305;6530,37
C000890;M000280;202305;3336,46
C000230;M000483;202403;286,72
C001053;M000235;202403;3948,38
C001619;M000044;202304;5362,67
C001258;M000430;202306;3973,36
C000171;M000356;202406;397,68
C001767;M000403;202304;5268,11
C001813;M000113;202311;3025,99
C000561;M000173;202312;4483,0
C001787;M000395;202302;8977,6
C001828;M000172;202301;1460,07
C000201;M000292;202407;127,16
C001065;M000280;202405;1996,86
C001616;M000292;202401;8340,73
C000900;M000270;202305;3157,96
C000917;M000038;202406;3258,06
C001428;M000136;202401;6014,29
C000501;M000275;202303;9953,88
C001732;M000053;202311;8423,06
C000503;M000169;202411;4964,21
C001764;M000427;202402;6545,14
C000928;M000342;202312;7161,4
C000957;M000215;202408;3427,84
C001538;M000098;202302;6218,78
C001448;M000235;202304;7149,53
C000304;M000075;202410;1022,56
C001283;M000396;202405;2838,2
C001975;M000367;202308;5328,5
C001779;M000080;202407;3507,53
C000112;M000475;202401;6637,77
C000859;M000177;202407;4865,59
C001733;M000279;202406;3159,63
C000567;M000014;202405;9322,87
C001272;M000178;202408;251,28
C001161;M000085;202406;2609,84
C001693;M000231;202401;5709,34
C000995;M000302;202305;6471,52
C000383;M000148;202401;173,12
C001802;M000297;202310;497,08
C001381;M000139;202408;9007,54
C001271;M000249;202401;9035,63
C000204;M000192;202301;328,52
C000642;M000464;202305;5675,14
C000682;M000383;202408;1759,72
C000503;M000059;202305;2728,24
C000098;M000004;202405;9667,86
C000559;M000121;202308;2215,84
C001677;M000362;202403;2697,34
C000703;M000423;202304;7445,21
C001527;M000237;202309;5972,35
C001705;M000017;202401;9019,72
C000178;M000136;202403;4626,51
C000035;M000123;202408;6406,03
C001589;M000493;202311;7588,65
C001549;M000475;202408;3578,61
C001084;M000021;202403;3878,66
C001890;M000336;202403;2734,28
C000458;M000241;202402;8437,32
C000288;M000449;202311;9441,81
C001928;M000128;202305;6054,27
C001416;M000393;202402;6635,13
C001210;M000181;202306;917,13
C001884;M000354;202308;446,03
C001851;M000375;202310;9575,91
C001901;M000071;202411;656,3
C000900;M000307;202411;9304,58
C001067;M000297;202408;3301,56
C000416;M000349;202407;4960,24
C000844;M000406;202310;4284,02
C001397;M000106;202307;6165,23
C001647;M000117;202411;3686,28
C000162;M000192;202305;9171,33
C000995;M000196;202411;5585,63
C000876;M000280;202301;386,68
C000120;M000163;202303;6619,48
C001438;M000045;202410;7653,99
C000175;M000083;202404;9284,12
C000159;M000334;202312;2444,72
C000535;M000245;202301;9114,9
C000904;M000184;202310;4493,28
C000166;M000239;202407;9971,33
C000499;M000495;202402;758,25
C000421;M000413;202406;283,02
C000903;M000134;202303;5902,24
C000527;M000147;202310;1366,94
C000747;M000132;202301;730,22
C001781;M000458;202407;1443,13
C001728;M000315;202307;8157,86
C000955;M000410;202402;6961,45
C001369;M000414;202306;284,69
C001567;M000406;202307;4546,71
C000347;M000044;202308;3016,08
C000150;M000395;202410;4162,19
C001215;M000096;202405;4701,27
C000320;M000372;202412;4576,61
C001438;M000288;202302;4841,67
C001555;M000172;202411;9556,86
C001086;M000049;202306;2793,33
C000744;M000475;202302;840,11
C001195;M000025;202404;7724,31
C001554;M000433;202405;569,52
C000485;M000310;202410;5020,85
C001491;M000037;202305;6785,24
C001428;M000284;202308;3809,82
C000833;M000231;202304;2854,12
C001451;M000161;202410;6041,92
C001118;M000004;202410;8888,79
C001414;M000469;202410;3166,8
C001405;M000312;202409;2417,24
C001544;M000155;202305;5249,41
C001293;M000284;202406;9282,77
C001494;M000338;202410;5660,15
C000245;M000004;202312;1158,06
C001455;M000448;202402;8691,87
C001787;M000353;202309;7772,29
C000895;M000307;202411;1578,29
C000590;M000469;202406;7338,41
C000689;M000380;202301;5145,35
C001776;M000401;202407;7074,09
C001207;M000229;202401;1548,79
C001366;M000242;202301;1706,11
C001279;M000104;202309;3215,14
C001219;M000307;202404;7809,02
C000495;M000478;202406;9864,07
C000251;M000001;202303;8957,02
C001277;M000349;202311;3494,58
C000244;M000185;202301;7046,67
C001308;M000480;202307;1552,51
C001679;M000287;202303;5359,11
C000442;M000116;202301;1997,43
C000152;M000318;202407;3366,66
C000094;M000435;202403;9680,86
C000241;M000139;202307;7527,25
C001532;M000329;202310;8048,49
C000815;M000425;202402;5887,64
C000471;M000228;202403;1161,18
C000152;M000258;202403;5773,73
C001664;M000406;202309;8388,58
C001671;M000019;202410;3383,49
C001878;M000070;202303;2238,1
C000892;M000366;202409;119,51
C001788;M000171;202409;7844,27
C001981;M000425;202401;9915,16
C000713;M000002;202403;7389,35
C001591;M000499;202406;1099,53
C001048;M000086;202402;7339,37
C001488;M000002;202402;4391,55
C000254;M000175;202301;9729,57
C000540;M000428;202312;6645,79
C000139;M000166;202409;4915,98
C001182;M000388;202311;2717,54
C001640;M000319;202403;2797,55
C001665;M000147;202410;3092,0
C001976;M000226;202301;7021,34
C001989;M000444;202303;4063,37
C001306;M000368;202302;823,49
C000266;M000415;202308;8150,73
C001495;M000051;202301;7224,83
C001201;M000265;202305;8669,54
C001629;M000033;202303;3386,47
C000860;M000228;202402;9896,12
C000150;M000131;202304;8574,66
C001910;M000472;202405;3439,18
C000496;M000380;202401;7202,73
C000914;M000024;202411;9798,75
C001754;M000434;202301;6589,27
C001795;M000115;202301;1304,58
C001235;M000152;202301;2692,78
C000120;M000160;202412;776,13
C000409;M000006;202411;3947,5
C000253;M000292;202409;7534,43
C000925;M000220;202408;7064,14
C001727;M000197;202301;1593,46
C001367;M000164;202410;5559,06
C001977;M000172;202409;8285,07
C000876;M000288;202303;2590,54
C001168;M000283;202309;9236,67
C000795;M000195;202306;6649,64
C001829;M000008;202311;692,9
C000148;M000471;202302;8854,81
C001949;M000114;202310;3793,35
C001865;M000457;202302;7487,51
C000508;M000415;202401;4272,95
C000517;M000325;202405;4680,95
C001119;M000252;202310;1967,23
C000942;M000211;202411;6732,95
C001766;M000318;202408;1975,39
C001672;M000224;202302;2057,98
C001642;M000062;202305;7936,59
C001096;M000358;202410;7916,78
C001715;M000331;202403;9084,98
C000838;M000375;202406;823,36
C000252;M000182;202410;834,5
C000266;M000490;202302;5044,47
C001971;M000406;202311;2177,3
C001774;M000174;202409;1091,4
C000942;M000210;202302;4751,83
C001340;M000411;202301;4340,17
C001386;M000112;202311;6324,8
C000945;M000232;202410;3019,93
C001514;M000110;202409;6723,09
C001943;M000082;202301;608,73
C000098;M000181;202404;3318,57
C000607;M000259;202408;4211,81
C001743;M000496;202307;975,17
C000269;M000270;202411;8814,16
C000086;M000084;202401;7271,96
C000490;M000322;202310;891,25
C000888;M000489;202306;5177,39
C001628;M000324;202309;4226,28
C001665;M000152;202312;6358,16
C001119;M000354;202307;1643,39
C000547;M000120;202304;5883,33
C000014;M000185;202407;6775,53
C000465;M000141;202407;103,35
C001359;M000287;202311;2723,75
C000067;M000228;202412;6468,95
C000813;M000244;202404;2281,31
C000430;M000369;202301;1140,11
C000701;M000254;202312;8714,9
C001869;M000241;202409;2849,33
C001519;M000314;202303;3358,55
C001997;M000220;202405;2896,59
C001468;M000206;202308;2896,34
C000237;M000143;202402;2582,55
C001112;M000370;202406;3482,69
C001024;M000408;202312;1606,75
C001697;M000488;202409;4070,5
C001756;M000416;202302;9005,98
C000589;M000077;202404;5919,31
C000402;M000346;202407;1528,92
C000542;M000144;202401;6014,94
C000613;M000171;202305;8431,83
C001661;M000172;202411;3493,46
C001678;M000262;202312;5780,77
C001604;M000391;202404;705,11
C000520;M000146;202312;6565,38
C000772;M000362;202402;8537,53
C001851;M000439;202304;4987,42
C001987;M000149;202304;5244,53
C000221;M000049;202311;2746,18
C001809;M000090;202307;175,23
C000608;M000334;202412;7075,43
C001558;M000186;202410;3454,76
C000399;M000452;202311;2875,73
C000545;M000012;202408;6422,31
C000568;M000283;202302;9262,85
C001212;M000125;202410;5076,18
C001163;M000012;202311;8205,36
C000429;M000063;202303;8120,16
C000774;M000235;202409;5334,24
C001970;M000488;202405;4499,04
C000384;M000340;202311;2657,49
C001890;M000355;202408;2630,11
C000956;M000212;202312;4364,12
C001124;M000051;202411;129,67
C001757;M000120;202408;2355,58
C001333;M000026;202311;7243,17
C001864;M000104;202311;942,89
C000769;M000184;202307;8681,29
C000722;M000128;202407;2312,62
C000867;M000367;202407;7885,0
C000895;M000158;202410;2758,47
C000094;M000085;202305;6903,53
C000372;M000452;202305;7833,54
C001381;M000159;202305;5361,28
C000177;M000247;202403;3010,97
C000360;M000493;202312;5937,97
C001543;M000445;202401;320,58
C001727;M000180;202410;9998,66
C000232;M000230;202407;180,26
C000663;M000176;202305;2240,31
C000912;M000048;202305;2531,61
C000615;M000154;202311;5246,79
C000635;M000164;202404;3399,23
C000188;M000173;202412;5576,7
C000288;M000365;202301;2893,09
C000749;M000465;202403;3837,91
C000813;M000428;202403;880,88
C000303;M000058;202310;7081,24
C001391;M000419;202410;3172,26
C001143;M000392;202410;9448,32
C001311;M000223;202409;8156,41
C001107;M000102;202301;9400,16
C000964;M000306;202409;6583,35
C000175;M000186;202312;3608,89
C001158;M000241;202308;6815,67
C001249;M000477;202412;4677,46
C000257;M000497;202411;2398,19
C001924;M000044;202410;8211,66
C001200;M000462;202309;3869,24
C000052;M000455;202410;6941,42
C001106;M000252;202401;1402,24
C000699;M000475;202308;1691,52
C000408;M000011;202309;4512,49
C000395;M000468;202306;9831,11
C000358;M000318;202304;4615,89
C001369;M000472;202407;6115,88
C000945;M000096;202405;3927,35
C001557;M000249;202312;1328,73
C001215;M000465;202406;5150,28
C001580;M000468;202401;6800,94
C000636;M000186;202305;1287,65
C000012;M000394;202312;2009,31
C001840;M000254;202303;3137,61
C000201;M000119;202404;264,99
C001507;M000106;202412;8056,01
C000517;M000393;202301;9151,89
C000778;M000056;202408;6175,81
C000402;M000215;202311;5129,7
C001637;M000409;202306;8111,53
C000455;M000200;202306;8412,37
C001456;M000379;202412;1185,64
C001287;M000032;202305;4624,01
C001123;M000136;202401;3209,26
C000458;M000482;202305;5218,19
C001803;M000173;202312;9763,57
C001770;M000100;202312;935,95
C001918;M000487;202303;5918,37
C000881;M000126;202412;2915,37
C000509;M000306;202311;3821,08
C000889;M000007;202304;8678,84
C001511;M000174;202408;6066,19
C001744;M000002;202302;4751,06
C000343;M000332;202302;7422,03
C001131;M000207;202309;4063,96
C001741;M000239;202405;5868,45
C001629;M000431;202402;9085,0
C001657;M000273;202408;3867,6
C001338;M000262;202401;1838,95
C001046;M000272;202305;7095,7
C001590;M000465;202307;4355,27
C001018;M000500;202304;9536,39
C001153;M000008;202407;3042,72
C001607;M000446;202309;8200,68
C000135;M000207;202411;1517,87
C000161;M000293;202401;9600,87
C001018;M000170;202304;8811,27
C000698;M000391;202412;6195,16
C001759;M000477;202309;5361,06
C001465;M000046;202406;9506,98
C001543;M000349;202412;4087,41
C000931;M000215;202301;9296,02
C001261;M000247;202311;7052,81
C001586;M000303;202408;4932,75
C001123;M000372;202412;6662,91
C000114;M000281;202312;1068,31
C000354;M000335;202411;4164,98
C001073;M000450;202303;4261,92
C001136;M000146;202410;6115,35
C001061;M000492;202309;7777,25
C000677;M000437;202308;6741,89
C001301;M000008;202406;8450,91
C001767;M000208;202302;1362,12
C001009;M000359;202402;551,64
C000145;M000192;202303;4243,2
C001125;M000226;202401;3593,45
C001765;M000269;202305;3459,16
C001908;M000134;202309;9422,79
C001196;M000067;202411;4860,22
C001118;M000338;202409;5364,72
C001785;M000304;202409;1438,91
C000085;M000040;202408;1294,41
C000253;M000162;202312;1080,13
C000888;M000474;202309;8304,89
C000971;M000328;202309;7103,71
C001115;M000268;202407;8476,6
C000053;M000182;202308;2187,84
C000976;M000449;202408;7232,38
C000611;M000402;202304;4658,27
C000128;M000198;202410;5923,03
C001133;M000426;202402;8453,25
C001920;M000450;202303;5104,73
C001596;M000383;202406;1845,68
C000511;M000053;202308;2645,57
C001097;M000475;202406;7014,14
C000228;M000248;202411;2234,87
C000376;M000380;202302;5174,3
C001285;M000242;202401;7290,76
C000272;M000444;202309;1942,41
C000073;M000471;202410;5702,23
C000845;M000394;202309;8544,83
C001124;M000342;202308;9075,63
C000212;M000191;202404;4631,27
C000393;M000244;202309;6488,51
C001313;M000496;202407;5173,09
C000928;M000163;202312;8239,41
C000060;M000337;202402;6091,28
C001946;M000334;202310;4035,18
C000108;M000173;202407;3146,06
C001155;M000214;202410;4178,05
C000739;M000452;202306;7643,4
C000701;M000443;202301;9897,52
C000716;M000371;202402;2855,12
C001795;M000041;202404;3173,33
C001148;M000221;202308;5842,1
C000192;M000420;202306;7207,31
C001631;M000359;202305;8993,96
C001379;M000178;202411;4801,42
C001579;M000033;202410;7654,01
C000961;M000292;202308;7532,06
C001519;M000173;202406;3418,29
C000558;M000455;202408;8689,34
C000629;M000280;202309;4562,22
C000548;M000421;202303;6576,97
C001073;M000024;202411;7478,29
C000976;M000071;202409;6198,76
C000848;M000473;202301;8483,15
C001836;M000225;202308;3738,19
C001208;M000008;202402;347,74
C000368;M000034;202405;8970,99
C000846;M000252;202408;5757,88
C001719;M000161;202307;5119,17
C001874;M000376;202407;3096,57
C001417;M000204;202406;8109,59
C001547;M000443;202311;8141,77
C000074;M000084;202309;7889,99
C001983;M000348;202402;5042,74
C000504;M000129;202406;2715,09
C000817;M000430;202307;1625,53
C001154;M000326;202408;2753,58
C000410;M000092;202309;3436,96
C001303;M000134;202402;3853,04
C001550;M000440;202304;6903,82
C000752;M000164;202312;2466,07
C001096;M000332;202301;617,23
C000013;M000241;202412;4162,33
C001499;M000327;202409;6654,68
C000744;M000184;202409;9619,07
C000497;M000125;202411;2824,8
C001990;M000470;202411;362,92
C001804;M000110;202302;9409,68
C000934;M000283;202409;980,86
C001271;M000194;202408;2555,39
C000585;M000285;202304;1561,3
C001834;M000312;202410;9923,84
C000493;M000005;202304;3645,65
C000048;M000003;202409;379,8
C001564;M000388;202410;9500,44
C000392;M000444;202303;3247,78
C000894;M000296;202411;1355,83
C000315;M000262;202401;1428,39
C000928;M000489;202404;9827,13
C000590;M000189;202310;7598,83
C000378;M000351;202401;6573,21
C001806;M000039;202405;4542,22
C001978;M000184;202409;4379,55
C001795;M000191;202306;1408,57
C001884;M000474;202303;346,33
C000414;M000212;202405;5840,52
C000189;M000464;202302;5169,74
C001301;M000356;202306;9206,21
C001287;M000071;202307;1012,07
C001373;M000282;202412;1579,93
C000240;M000271;202412;4151,32
C001467;M000089;202301;8534,1
C000370;M000214;202310;266,34
C000160;M000478;202409;8749,39
C000470;M000364;202412;4050,34
C000532;M000250;202310;9109,2
C000589;M000037;202412;2564,04
C000114;M000484;202402;5263,74
C000866;M000272;202306;1439,31
C000687;M000366;202402;2974,3
C000718;M000496;202406;5840,52
C001137;M000007;202409;7578,24
C000585;M000472;202304;5356,18
C001524;M000492;202308;6598,5
C001921;M000168;202310;4381,13
C001361;M000112;202302;4072,01
C000159;M000391;202307;2133,18
C000936;M000101;202304;3084,8
C001835;M000045;202408;8048,73
C000855;M000102;202307;2877,0
C001908;M000435;202408;8267,74
C000476;M000439;202305;348,39
C000084;M000292;202304;6282,15
C001806;M000001;202305;1267,45
C001599;M000500;202403;5896,22
C000839;M000393;202307;2133,89
C001053;M000493;202301;5781,62
C001189;M000436;202312;9791,53
C001061;M000398;202305;5709,31
C001462;M000464;202312;1074,29
C000384;M000082;202310;1547,15
C001020;M000176;202401;2845,79
C001205;M000431;202307;3772,68
C000364;M000255;202311;8185,4
C001131;M000404;202402;7338,84
C001055;M000026;202412;8679,85
C001269;M000015;202401;3837,01
C001322;M000189;202409;3753,73
C000301;M000014;202411;9699,52
C001180;M000380;202403;5183,6
C000972;M000317;202404;1288,07
C001507;M000393;202404;4535,21
C000712;M000428;202308;8326,59
C000483;M000396;202312;5568,89
C001867;M000348;202303;6039,09
C000732;M000105;202412;7971,98
C001064;M000444;202312;6989,54
C000787;M000410;202303;6298,47
C001025;M000451;202311;8577,04
C000509;M000389;202305;3827,62
C001997;M000255;202305;9276,25
C001182;M000456;202411;7176,93
C000651;M000422;202401;7495,59
C000353;M000480;202409;1550,08
C001204;M000152;202412;9654,81
C000866;M000113;202412;3469,38
C000984;M000282;202402;8495,33
C001626;M000287;202411;9094,43
C000854;M000429;202401;9374,02
C000686;M000259;202410;296,77
C000199;M000276;202303;5946,87
C001573;M000082;202301;3720,43
C000500;M000281;202305;9797,27
C000565;M000318;202411;6377,01
C001239;M000062;202304;4303,81
C000535;M000351;202408;9373,42
C000852;M000372;202305;3051,17
C000011;M000133;202410;4122,2
C001823;M000169;202306;8967,67
C000513;M000311;202301;4553,63
C000254;M000156;202403;2359,43
C000747;M000425;202304;440,16
C001229;M000333;202305;3129,39
C000304;M000118;202301;6539,45
C000446;M000235;202310;7571,14
C000482;M000243;202307;8935,79
C000101;M000012;202312;4477,37
C001401;M000490;202306;2578,57
C000513;M000285;202311;8079,0
C001478;M000396;202402;4954,34
C001731;M000178;202402;6890,64
C001727;M000267;202304;5927,97
C001782;M000300;202305;6034,29
C001307;M000441;202309;9457,35
C001576;M000017;202308;2842,57
C000263;M000482;202411;3409,87
C001557;M000373;202412;529,76
C001865;M000331;202408;9878,44
C000709;M000243;202408;6836,03
C000072;M000034;202401;7381,23
C001020;M000051;202310;2187,98
C001396;M000268;202311;5245,38
C001802;M000188;202310;1421,08
C001447;M000193;202306;3503,16
C000301;M000232;202409;7444,07
C000684;M000445;202408;2462,31
C001714;M000168;202311;5578,6
C000328;M000108;202410;6557,93
C001972;M000164;202406;1469,71
C001082;M000184;202405;2746,42
C001728;M000449;202301;531,88
C000780;M000307;202306;744,55
C000766;M000146;202302;3529,7
C000676;M000204;202305;5354,12
C000559;M000444;202403;1717,87
C001674;M000070;202302;2856,24
C000710;M000280;202310;2018,12
C001058;M000448;202403;5972,87
C000508;M000144;202306;5445,37
C001610;M000443;202310;7389,31
C000681;M000270;202405;6699,36
C000536;M000327;202403;4240,83
C000415;M000255;202308;9615,3
C001658;M000242;202407;5630,55
C001845;M000139;202308;7708,69
C001780;M000140;202410;8244,03
C000258;M000269;202311;302,91
C001585;M000498;202307;3796,43
C000645;M000129;202404;6793,26
C001898;M000319;202410;1265,71
C000685;M000047;202410;8457,04
C001467;M000491;202408;4918,59
C000518;M000424;202301;6690,43
C000711;M000114;202303;4301,57
C001601;M000105;202402;8435,94
C001511;M000343;202301;684,4
C001309;M000125;202401;3875,41
C001567;M000400;202410;5504,15
C000187;M000197;202304;3685,01
C001589;M000088;202312;9243,24
C001200;M000235;202308;6312,4
C001051;M000220;202402;7546,21
C001311;M000271;202402;2586,16
C000717;M000102;202407;5258,45
C000726;M000346;202410;5742,45
C000732;M000319;202409;7198,02
C001857;M000399;202310;625,48
C000394;M000274;202312;3132,07
C000722;M000279;202411;5935,98
C000591;M000417;202303;9082,95
C001132;M000172;202407;5471,16
C001097;M000028;202304;4386,71
C000303;M000060;202303;953,66
C000582;M000307;202310;4381,01
C001932;M000388;202301;3579,91
C000050;M000467;202410;5386,91
C001091;M000409;202312;2065,23
C000491;M000414;202310;5633,99
C001013;M000372;202303;8365,0
C001383;M000058;202412;5710,37
C000192;M000444;202312;573,0
C001233;M000024;202405;526,51
C000789;M000106;202311;9622,37
C000936;M000339;202310;8986,23
C001889;M000179;202303;9086,08
C000960;M000117;202406;491,13
C000686;M000352;202303;9182,4
C001499;M000166;202301;7612,36
C001022;M000308;202308;3094,8
C001192;M000279;202410;9277,72
C000276;M000365;202408;1499,67
C000786;M000232;202402;7468,46
C000772;M000047;202305;2895,04
C001987;M000335;202310;9210,81
C001493;M000181;202401;9722,07
C000504;M000027;202304;2357,62
C001753;M000236;202308;4822,75
C000068;M000487;202303;2363,42
C001601;M000224;202408;3805,75
C001893;M000061;202301;8065,72
C000956;M000101;202308;7805,5
C000574;M000071;202409;9240,02
C000160;M000169;202407;3759,36
C000204;M000490;202402;5816,73
C000859;M000275;202309;4153,15
C000118;M000453;202407;6231,43
C001001;M000331;202310;4961,61
C000746;M000030;202405;6617,61
C000238;M000460;202303;5745,32
C000357;M000221;202407;4542,8
C000544;M000122;202302;3116,18
C000175;M000125;202409;3320,2
C000367;M000321;202306;7990,96
C000080;M000329;202302;7979,08
C000328;M000152;202411;5270,83
C000923;M000404;202309;7107,0
C001412;M000145;202302;1991,7
C000261;M000448;202301;3754,18
C000550;M000253;202307;3893,39
C001005;M000206;202410;8362,79
C001958;M000192;202311;2860,89
C001045;M000377;202302;8673,75
C001671;M000125;202403;6798,9
C001935;M000495;202301;6911,82
C001315;M000027;202412;9482,71
C001347;M000248;202305;273,4
C001445;M000477;202411;5256,52
C000621;M000178;202412;5374,6
C000267;M000230;202407;1332,65
C000963;M000382;202405;9299,49
C000466;M000208;202310;8055,95
C001617;M000197;202409;4202,18
C001656;M000101;202309;8155,04
C001649;M000010;202406;3932,62
C000243;M000334;202309;999,94
C000550;M000499;202309;2724,08
C001860;M000447;202307;7350,73
C000512;M000193;202312;7317,62
C001540;M000286;202308;8478,37
C000030;M000377;202409;6433,95
C000358;M000180;202402;225,17
C000147;M000297;202412;9489,5
C001476;M000434;202409;4740,16
C000142;M000189;202412;8967,13
C000299;M000346;202301;2712,02
C001357;M000044;202307;7376,46
C001310;M000062;202309;9402,13
C001868;M000092;202402;9327,95
C000222;M000250;202309;6968,77
C000093;M000340;202411;9912,87
C000369;M000288;202405;5472,1
C001073;M000106;202307;7662,03
C001146;M000419;202302;7412,35
C001138;M000363;202307;3611,0
C000550;M000371;202406;7347,47
C000292;M000394;202305;1024,04
C001509;M000113;202403;7155,53
C000858;M000121;202409;4527,9
C000978;M000157;202301;5691,11
C000021;M000435;202409;6345,34
C000578;M000390;202312;1515,51
C001143;M000194;202307;3343,84
C001854;M000372;202305;6189,87
C001741;M000215;202310;6786,77
C001525;M000209;202411;3784,78
C001925;M000167;202408;2992,42
C001753;M000398;202409;1082,99
C001595;M000009;202305;610,17
C001494;M000064;202405;9899,61
C001700;M000290;202411;9119,65
C000831;M000439;202306;3135,49
C000661;M000354;202310;5968,41
C000058;M000129;202301;8943,06
C000689;M000151;202411;4631,4
C000959;M000405;202307;9349,76
C001826;M000141;202303;6794,68
C001024;M000472;202304;843,03
C000735;M000256;202411;4670,62
C000075;M000174;202405;9306,8
C001070;M000368;202412;1312,82
C001137;M000110;202409;4798,23
C001058;M000259;202309;4850,92
C000676;M000441;202308;2172,2
