cliente;prodotto;giorno;quantity;amount
C000278;M000063;13/10/2024;5;1621.06
C000724;M000524;22/01/2023;64;11744.73
C000762;M000161;13/02/2024;79;35807.47
C000763;M000511;02/02/2023;11;403.76
C000040;M000489;15/12/2024;2;588.13
C000151;M000448;27/10/2023;49;21695.94
C000284;M000092;19/02/2023;61;19761.29
C000122;M000485;21/03/2023;53;18596.48
C000492;M000139;05/06/2023;54;25427.92
C000682;M000179;04/09/2024;64;6428.65
C000868;M000731;02/11/2024;92;11481.17
C000213;M000538;22/04/2023;68;15468.53
C000101;M000214;30/11/2024;9;4012.9
C000071;M000463;19/10/2024;14;6093.42
C000900;M000923;01/02/2023;48;4117.5
C000175;M000913;26/05/2024;17;3771.69
C000559;M000355;16/03/2023;79;2880.1
C000185;M000447;07/08/2023;44;14771.97
C000717;M000698;20/11/2023;9;218.26
C000220;M000770;03/04/2023;2;102.38
C000804;M000847;25/12/2023;43;15353.89
C000473;M000915;07/12/2024;65;27461.07
C000042;M000384;13/07/2023;17;1610.9
C000976;M000872;09/05/2024;94;24811.0
C000030;M000983;29/12/2023;5;2442.5
C000499;M000363;01/12/2023;62;16823.45
C000474;M000009;20/12/2023;26;2490.17
C000021;M000701;21/04/2023;29;7258.95
C000145;M000139;27/06/2024;56;6294.77
C000332;M000680;05/07/2023;100;1353.76
C000195;M000280;23/09/2023;19;8412.41
C000645;M000456;08/09/2024;4;33.7
C000401;M000139;07/04/2024;75;12838.01
C000608;M000536;24/05/2023;41;6627.91
C000764;M000256;06/02/2024;94;29582.82
C000519;M000826;08/05/2023;38;678.92
C000728;M000378;08/01/2023;44;13886.95
C000675;M000554;09/07/2024;25;10953.32
C000263;M000940;21/03/2024;1;43.0
C000862;M000075;24/03/2024;60;20829.82
C000353;M000277;03/03/2023;19;5305.71
C000261;M000115;20/08/2023;72;7414.06
C000835;M000142;01/09/2023;62;17970.99
C000275;M000352;04/08/2024;13;1763.57
C000658;M000748;23/07/2023;23;10566.11
C000174;M000097;03/05/2024;67;22429.53
C000711;M000851;20/04/2023;57;20039.38
C000152;M000845;26/02/2024;14;3559.22
C001000;M000694;10/05/2024;89;20877.06
C000823;M000088;30/11/2023;46;7626.02
C000373;M000351;24/02/2024;87;30574.46
C000800;M000706;16/03/2024;14;4708.51
C000840;M000075;01/11/2023;36;940.97
C000369;M000386;05/04/2023;48;23703.36
C000020;M000455;03/11/2024;42;19401.84
C000828;M000474;13/01/2023;61;8042.68
C000579;M000672;30/08/2024;75;9249.54
C000007;M000803;26/05/2023;99;43676.44
C000267;M000551;15/06/2023;42;14679.29
C000913;M000625;04/05/2024;60;11474.83
C000790;M000907;26/09/2024;71;35005.09
C000192;M000554;25/01/2023;56;13991.58
C000369;M000401;17/03/2024;81;13418.11
C000457;M000477;18/10/2023;8;3480.66
C000597;M000034;28/10/2024;21;2103.24
C000433;M000339;13/11/2023;77;5676.66
C000240;M000618;08/02/2024;69;23865.85
C000576;M000981;28/12/2024;75;22107.27
C000115;M000391;03/01/2023;15;657.8
C000933;M000010;18/11/2023;43;9905.37
C000971;M000092;08/02/2023;18;190.59
C000785;M000574;17/05/2023;52;21994.6
C000871;M000538;02/07/2023;83;18858.98
C000189;M000425;23/12/2024;78;21370.75
C000716;M000316;22/04/2024;82;10896.88
C000179;M000763;13/01/2023;28;1065.94
C000438;M000508;20/02/2024;58;11863.23
C000075;M000248;15/08/2023;49;14561.13
C000289;M000391;04/07/2024;46;20082.51
C000476;M000382;07/10/2023;17;5059.81
C000477;M000577;19/02/2023;52;2544.25
C000417;M000210;16/11/2024;12;1752.11
C000449;M000260;08/11/2023;12;1571.15
C000674;M000360;19/12/2024;24;11118.44
C000253;M000822;20/08/2023;94;2509.41
C000476;M000663;20/10/2023;77;19497.09
C000144;M000565;06/02/2023;13;5904.65
C000600;M000465;25/09/2023;6;957.91
C000458;M000807;02/06/2023;77;35282.52
C000104;M000408;04/10/2023;89;8268.89
C000300;M000726;05/11/2023;19;2671.47
C000084;M000711;12/11/2023;73;3417.96
C000711;M000322;15/07/2024;12;2547.97
C000853;M000994;05/08/2024;84;31776.85
C000976;M000048;06/10/2023;94;25223.72
C000380;M000974;04/06/2023;3;1168.78
C000300;M000099;10/02/2024;48;23317.85
C000443;M000765;11/01/2024;15;7117.43
C000276;M000233;04/11/2024;7;2392.02
C000898;M000356;22/02/2024;9;3273.3
C000228;M000555;30/05/2023;23;2523.98
C000799;M000630;02/07/2023;45;17892.01
C000110;M000701;30/05/2024;34;6888.62
C000244;M000445;05/08/2024;100;10314.29
C000801;M000087;31/08/2023;41;7477.19
C000220;M000984;12/01/2023;6;1311.45
C000170;M000817;24/07/2024;75;34713.66
C000022;M000603;29/09/2023;84;24181.71
C000593;M000769;22/10/2023;82;32309.38
C000056;M000835;22/03/2023;40;15193.51
C000782;M000158;09/07/2024;68;1607.78
C000915;M000886;19/01/2023;17;3581.26
C000378;M000465;03/08/2023;76;8125.92
C000168;M000202;08/06/2023;3;1021.8
C000192;M000192;20/12/2023;70;26813.17
C000053;M000604;01/07/2024;69;5382.11
C000411;M000978;07/01/2023;92;28003.05
C000773;M000799;14/03/2023;55;25851.99
C000734;M000636;21/02/2024;53;25631.07
C000028;M000459;12/01/2024;7;2703.49
C000951;M000802;25/01/2024;67;3650.63
C000261;M000114;18/02/2023;50;16984.59
C000135;M000272;05/05/2023;2;226.31
C000579;M000150;09/08/2023;20;9694.57
C000808;M000742;25/07/2024;73;6678.38
C000536;M000259;18/09/2023;58;5046.75
C000173;M000471;24/11/2024;23;6377.96
C000852;M000271;10/12/2024;3;513.49
C000340;M000614;10/12/2024;40;6981.58
C000802;M000388;28/08/2024;10;4382.54
C000304;M000093;28/06/2024;82;29304.56
C000859;M000161;16/05/2024;11;2914.42
C000512;M000653;15/08/2024;82;7576.59
C000738;M000834;06/01/2024;96;13537.55
C000602;M000921;28/05/2023;22;3635.8
C000619;M000576;24/06/2023;59;29083.57
C000280;M000308;17/09/2023;58;26775.72
C000477;M000020;15/09/2023;74;18773.13
C000615;M000801;08/10/2023;19;2911.28
C000750;M000625;22/08/2023;92;8119.44
C000427;M000849;15/07/2024;92;25136.82
C000086;M000593;05/11/2024;20;4658.01
C000772;M000154;04/08/2023;30;8527.68
C000693;M000629;23/03/2024;41;13830.09
C000249;M000219;08/10/2024;50;7787.51
C000743;M000640;13/02/2023;81;644.11
C000487;M000007;10/07/2023;69;20276.42
C000003;M000925;01/05/2023;30;2804.04
C000915;M000875;26/09/2024;76;32333.03
C000393;M000050;01/04/2024;76;4166.99
C000121;M000249;17/01/2024;31;14416.61
C000529;M000749;13/01/2023;95;18566.44
C000027;M000350;24/10/2024;56;11382.49
C000253;M000789;28/01/2024;33;5169.91
C000293;M000175;20/08/2024;21;6205.73
C000352;M000023;07/07/2023;74;32267.22
C000251;M000089;25/01/2023;73;15524.61
C000434;M000128;06/07/2024;14;5781.02
C000863;M000078;15/03/2024;23;2845.65
C000066;M000543;17/09/2023;52;24611.14
C000066;M000904;28/01/2024;93;27507.79
C000206;M000349;20/08/2024;7;311.73
C000301;M000490;29/08/2023;68;26251.13
C000544;M000287;11/02/2023;12;5421.35
C000766;M000195;28/06/2023;34;11123.84
C000320;M000390;01/09/2023;17;1045.97
C000428;M000323;31/05/2024;39;2758.69
C000459;M000476;26/09/2023;75;23321.34
C000905;M000269;19/07/2023;31;7981.82
C000840;M000089;15/02/2023;27;13139.33
C000423;M000614;20/04/2023;56;1926.49
C000362;M000246;13/08/2024;46;11902.59
C000131;M000931;22/04/2023;65;19713.14
C000128;M000156;14/10/2023;43;2000.85
C000594;M000399;24/08/2023;10;4177.73
C000077;M000639;23/02/2024;19;3891.44
C000521;M000393;16/01/2023;16;4743.98
C000182;M000820;06/08/2024;9;2521.82
C000489;M000566;29/12/2023;51;8216.8
C000900;M000802;04/02/2023;32;10902.33
C000452;M000456;02/08/2023;42;12930.19
C000241;M000582;11/07/2024;10;1320.0
C000144;M000329;20/07/2024;34;5476.47
C000829;M000832;30/03/2023;46;14145.96
C000141;M000899;27/10/2023;18;4164.56
C000698;M000565;07/07/2023;21;9488.12
C000069;M000106;18/11/2023;67;16811.43
C000771;M000151;17/05/2024;79;31544.25
C000972;M000194;01/04/2023;73;18467.9
C000304;M000396;22/09/2024;42;15024.39
C000572;M000215;18/11/2023;73;15167.04
C000688;M000748;01/06/2023;37;2225.99
C000367;M000640;08/04/2023;96;26025.28
C000423;M000144;14/01/2024;83;15138.83
C000760;M000634;03/04/2024;10;1297.99
C000751;M000155;13/11/2024;24;696.01
C000858;M000288;10/05/2024;49;23845.9
C000802;M000662;12/10/2024;76;13525.62
C000457;M000257;20/01/2023;86;5081.97
C000747;M000312;14/02/2023;65;23381.7
C000134;M000550;05/01/2024;24;5292.18
C000129;M000208;17/09/2023;20;1800.43
C000727;M000444;11/01/2023;23;1732.02
C000539;M000365;07/09/2024;94;22264.61
C000320;M000537;14/03/2023;38;10615.79
C000328;M000598;17/12/2024;84;19696.62
C000707;M000480;15/07/2023;55;4164.64
C000042;M000403;13/06/2024;80;9745.56
C000330;M000902;04/03/2023;32;4123.13
C000801;M000135;11/03/2023;69;922.18
C000938;M000325;24/05/2024;72;30050.84
C000750;M000989;29/05/2023;9;826.2
C000556;M000194;24/06/2023;85;27288.14
C000160;M000836;10/01/2024;58;21965.01
C000367;M000317;13/09/2024;90;18406.26
C000622;M000995;13/01/2023;18;6145.27
C000830;M000460;23/02/2024;36;10233.02
C000179;M000495;15/11/2024;24;6468.43
C000186;M000939;06/05/2024;43;19586.62
C000958;M000081;18/03/2023;12;5225.56
C000291;M000672;10/06/2024;49;24072.99
C000889;M000997;04/06/2024;98;1151.08
C000730;M000886;20/08/2023;54;7671.07
C000637;M000377;09/12/2023;52;8224.88
C000926;M000423;21/02/2024;29;3848.76
C000603;M000848;23/03/2023;4;1415.53
C000163;M000916;01/08/2024;19;4019.28
C000002;M000579;04/02/2024;42;13731.85
C000594;M000987;07/12/2024;70;22507.13
C000693;M000952;21/08/2024;26;7628.17
C000120;M000326;01/06/2024;17;325.24
C000175;M000905;26/03/2023;56;11074.69
C000791;M000673;10/10/2024;27;11729.0
C000222;M000396;13/09/2023;15;7071.28
C000372;M000403;13/08/2024;3;1256.32
C000576;M000063;06/01/2023;66;4168.92
C000883;M000364;04/04/2023;6;1619.49
C000492;M000997;29/12/2024;8;595.65
C000597;M000332;20/05/2023;96;38491.65
C000966;M000135;21/05/2023;86;11004.65
C000603;M000706;03/11/2024;35;1085.61
C000032;M000479;30/05/2024;8;3052.31
C000474;M000571;02/11/2024;46;8516.37
C000226;M000468;23/01/2023;67;29011.42
C000898;M000205;20/02/2023;51;15333.01
C000842;M000729;24/01/2024;61;7974.62
C000720;M000569;23/12/2023;41;3742.71
C000431;M000589;08/04/2023;36;17573.18
C000980;M000914;06/11/2023;74;20352.82
C000198;M000862;06/02/2023;44;14633.28
C000642;M000747;04/05/2023;65;3273.73
C000766;M000266;12/08/2024;19;1822.74
C000674;M000454;22/02/2023;1;56.89
C000324;M000558;16/06/2023;95;30302.09
C000019;M000443;23/08/2023;19;154.26
C000852;M000863;14/07/2023;100;47212.01
C000270;M000064;10/04/2024;70;22824.41
C000309;M000471;18/02/2024;68;19015.56
C000393;M000166;17/10/2024;35;16933.43
C000894;M000529;01/08/2023;28;11923.46
C000149;M000431;15/08/2024;63;26963.07
C000692;M000491;27/02/2023;3;607.53
C000542;M000703;28/08/2024;1;145.94
C000066;M000233;25/12/2024;27;8241.88
C000946;M000949;28/01/2024;44;13769.24
C000210;M000250;27/12/2024;53;14239.82
C000171;M000157;22/06/2023;61;27552.35
C000974;M000564;16/11/2024;38;9759.15
C000323;M000112;21/08/2024;6;2535.1
C000481;M000577;12/09/2024;37;12563.13
C000477;M000309;15/07/2023;32;10552.31
C000577;M000606;16/06/2024;97;798.36
C000429;M000353;13/09/2023;91;40210.47
C000165;M000055;17/12/2023;31;3966.64
C000700;M000388;23/08/2023;84;5316.7
C000180;M000109;01/11/2024;5;1659.3
C000723;M000126;01/06/2024;24;325.21
C000485;M000562;09/07/2023;35;3030.8
C000191;M000521;16/10/2023;82;10584.05
C000814;M000179;09/03/2024;65;7120.2
C000611;M000779;19/07/2024;96;43355.19
C000151;M000766;01/03/2024;48;17294.64
C000761;M000467;11/05/2024;5;915.54
C000230;M000538;17/12/2023;40;16951.59
C000843;M000283;08/02/2024;73;7276.59
C000810;M000883;15/01/2023;4;1152.75
C000841;M000519;03/11/2023;45;22402.17
C000342;M000330;16/09/2024;21;8945.18
C000218;M000927;15/01/2024;94;28676.73
C000977;M000716;30/01/2024;30;11240.78
C000805;M000704;19/08/2023;2;263.23
C000849;M000542;15/09/2024;66;3474.53
C000023;M000256;07/09/2024;35;4177.08
C000524;M000514;08/05/2023;33;15187.58
C000275;M000953;18/03/2023;14;3803.81
C000577;M000648;18/12/2023;47;16810.67
C000330;M000526;29/10/2024;69;2426.91
C000087;M000589;05/09/2023;24;863.59
C000210;M000208;14/08/2023;57;14599.77
C000091;M000096;03/01/2024;65;15898.92
C000680;M000358;09/03/2024;26;1801.4
C000748;M000996;07/02/2024;61;5874.05
C000352;M000804;20/07/2023;64;23524.26
C000719;M000196;10/07/2024;3;372.79
C000745;M000047;18/05/2024;12;5990.55
C000862;M000600;28/10/2023;88;27100.59
C000030;M000246;04/08/2023;88;7802.23
C000493;M000767;13/08/2023;65;16152.56
C000415;M000468;02/08/2024;62;26295.05
C000842;M000489;02/06/2023;52;3321.64
C000127;M000849;08/03/2023;42;614.21
C000137;M000458;14/03/2024;92;3761.39
C000223;M000528;20/03/2024;49;19571.36
C000950;M000862;06/10/2023;28;1098.37
C000836;M000869;21/05/2023;7;3244.16
C000849;M000170;23/01/2024;87;11117.46
C000203;M000998;17/12/2023;97;21033.36
C000351;M000255;10/03/2024;90;2782.72
C000352;M000558;13/09/2023;17;4220.05
C000957;M000122;25/02/2024;75;21796.18
C000141;M000351;10/06/2024;79;6415.96
C000402;M000928;24/07/2024;100;15958.79
C000147;M000560;16/02/2024;96;5471.18
C000393;M000438;13/01/2023;85;30246.36
C000528;M000962;18/05/2023;6;1445.28
C000709;M000294;13/08/2024;32;3046.11
C000038;M000170;09/11/2024;4;123.73
C000192;M000296;13/10/2023;77;7587.85
C000668;M000279;14/04/2024;80;24291.42
C000654;M000505;07/07/2024;95;47388.01
C000301;M000810;07/02/2023;13;1049.36
C000874;M000797;16/05/2023;82;37495.98
C000441;M000710;07/02/2023;71;3489.01
C000448;M000647;23/02/2023;23;8891.42
C000170;M000320;06/03/2024;73;23751.06
C000628;M000764;22/02/2024;88;37437.46
C000807;M000232;30/11/2024;70;5335.49
C000908;M000259;09/11/2024;26;7509.42
C000881;M000384;26/04/2023;85;39714.28
C000944;M000735;25/07/2023;93;30177.2
C000232;M000996;17/05/2024;66;7542.81
C000877;M000834;29/08/2023;40;11061.04
C000196;M000770;06/12/2023;3;1334.24
C000642;M000540;16/05/2024;64;3643.33
C000554;M000189;25/01/2024;29;6074.6
C000888;M000345;12/03/2024;76;12697.24
C000432;M000614;23/03/2024;43;7523.47
C000550;M000493;27/07/2024;53;20206.66
C000723;M000616;17/04/2024;20;8265.2
C000714;M000151;27/06/2024;34;14270.16
C000128;M000209;16/09/2023;56;19432.37
C000407;M000034;30/12/2023;62;30202.82
C000454;M000954;11/07/2024;85;28703.99
C000316;M000752;22/03/2024;39;1908.14
C000582;M000283;15/12/2023;50;22345.61
C000134;M000890;02/12/2023;27;1371.23
C000552;M000968;01/03/2024;34;5407.75
C000794;M000013;06/11/2024;38;3643.33
C000280;M000155;04/07/2023;35;5779.59
C000040;M000403;07/01/2023;69;1187.62
C000209;M000261;03/05/2024;66;20504.77
C000669;M000954;09/01/2023;16;729.8
C000374;M000947;11/04/2024;71;32067.75
C000835;M000795;17/10/2024;98;41995.67
C000840;M000995;09/10/2023;82;1857.12
C000726;M000595;20/03/2023;28;12991.68
C000504;M000806;21/07/2024;14;6080.5
C000560;M000719;04/05/2024;83;12653.34
C000907;M000608;29/09/2024;73;28040.77
C000922;M000600;29/07/2023;20;3911.55
C000012;M000427;11/11/2023;46;22183.12
C000160;M000951;05/05/2023;9;908.67
C000689;M000645;12/02/2023;41;19951.68
C000349;M000470;10/05/2024;48;9914.17
C000461;M000188;21/04/2024;12;912.55
C000732;M000762;18/08/2023;82;27976.95
C000080;M000040;05/09/2024;74;4531.47
C000712;M000282;03/02/2024;21;7844.93
C000883;M000679;15/01/2024;28;6849.68
C000018;M000449;12/09/2023;6;829.68
C000443;M000228;26/04/2023;89;34705.58
C000660;M000105;29/09/2023;89;9467.43
C000197;M000932;13/03/2023;96;44186.38
C000862;M000146;26/10/2023;60;27489.51
C000074;M000426;16/06/2023;31;1690.91
C000628;M000247;17/01/2023;2;813.21
C000315;M000522;15/12/2024;6;1922.6
C000364;M000364;12/05/2024;90;3307.0
C000762;M000005;15/09/2024;96;30956.95
C000949;M000321;07/09/2024;20;9671.54
C000395;M000397;25/03/2023;51;12609.09
C000889;M000082;14/08/2024;33;15982.22
C000163;M000160;09/06/2023;46;10511.15
C000520;M000949;25/06/2023;92;41502.81
C000282;M000809;17/01/2023;41;10075.36
C000513;M000663;24/05/2024;96;45439.28
C000983;M000642;30/10/2024;30;6896.55
C000882;M000373;13/04/2023;15;2155.38
C000337;M000566;01/04/2024;93;1413.42
C000223;M000443;29/07/2023;8;955.66
C000509;M000528;07/04/2024;47;7940.53
C000006;M000236;10/06/2024;53;2755.21
C000661;M000681;27/06/2024;44;14370.83
C000064;M000248;24/08/2023;69;5814.35
C000977;M000237;23/11/2024;46;13835.01
C000091;M000809;19/11/2024;72;14049.31
C000235;M000202;22/01/2024;41;870.61
C000681;M000174;26/05/2024;73;12951.98
C000388;M000350;16/03/2024;24;9128.76
C000137;M000276;08/11/2024;92;39234.17
C000833;M000638;02/08/2023;10;192.66
C000968;M000694;30/05/2024;21;4137.42
C000552;M000279;01/04/2024;97;12722.0
C000999;M000317;16/01/2023;3;1040.73
C000642;M000941;27/04/2024;3;174.28
C000338;M000924;03/09/2023;4;252.54
C000757;M000768;15/10/2024;77;14136.12
C000448;M000237;30/08/2023;38;12010.86
C000036;M000118;25/01/2023;90;21993.95
C000902;M000815;24/08/2023;56;8673.99
C000527;M000675;23/01/2023;21;6552.88
C000714;M000638;21/02/2024;25;5207.29
C000636;M000968;27/04/2023;80;22365.37
C000840;M000851;15/10/2024;62;23924.95
C000507;M000214;28/06/2023;87;14948.35
C000456;M000299;15/06/2023;95;14465.68
C000475;M000355;12/10/2024;26;3375.93
C000462;M000460;27/06/2023;74;11561.77
C000465;M000269;06/10/2023;12;4480.55
C000390;M000397;13/02/2024;49;14116.74
C000221;M000010;18/07/2023;63;26651.93
C000219;M000719;16/09/2023;62;29189.71
C000148;M000959;15/03/2024;70;20437.77
C000052;M000746;26/12/2024;66;13928.27
C000452;M000549;20/01/2024;17;995.4
C000765;M000705;28/03/2023;96;21450.27
C000905;M000671;23/06/2023;83;39333.79
C000436;M000781;29/05/2024;41;15083.75
C000356;M000421;22/03/2023;62;16695.25
C000700;M000174;22/11/2024;94;12301.72
C000606;M000696;18/09/2024;30;3398.92
C000155;M000137;06/03/2024;78;9655.57
C000848;M000452;28/02/2024;1;482.12
C000276;M000142;22/03/2024;88;17860.52
C000562;M000974;26/01/2023;24;521.09
C000181;M000867;03/12/2023;3;1400.95
C000246;M000089;16/04/2024;94;6392.05
C000687;M000350;04/04/2024;52;21884.73
C000639;M000546;02/08/2023;64;17793.95
C000321;M000196;28/01/2023;87;7459.37
C000014;M000952;13/11/2024;40;4204.98
C000618;M000037;31/07/2024;49;8149.1
C000315;M000788;27/11/2023;12;3697.44
C000032;M000942;19/05/2023;66;7962.96
C000800;M000321;13/06/2024;18;2495.31
C000615;M000346;10/01/2023;12;1397.52
C000458;M000488;26/11/2024;53;5098.85
C000070;M000219;05/07/2023;99;21642.47
C000655;M000738;22/09/2023;52;9687.69
C000411;M000331;28/01/2023;54;5079.6
C000006;M000997;01/11/2024;3;325.23
C000306;M000094;11/10/2023;74;19962.39
C000810;M000967;12/03/2023;69;17952.2
C000573;M000400;18/04/2024;56;21456.86
C000806;M000580;22/09/2024;99;24294.78
C000166;M000750;05/01/2024;42;15886.11
C000071;M000601;19/12/2024;91;44801.16
C000420;M000629;10/05/2024;58;24771.2
C000193;M000056;06/09/2024;28;7574.55
C000377;M000232;31/12/2023;23;3664.85
C000444;M000247;02/04/2024;6;2780.69
C000293;M000906;13/08/2023;24;8347.36
C000780;M000947;22/04/2023;51;9509.8
C000295;M000972;09/09/2024;89;13207.75
C000968;M000195;06/01/2023;49;18598.79
C000187;M000436;22/06/2023;56;16782.29
C000972;M000364;15/09/2024;68;3503.28
C000301;M000292;20/09/2024;25;2972.67
C000022;M000714;14/12/2024;75;27176.38
C000125;M000647;30/01/2024;31;2618.77
C000294;M000707;05/08/2024;50;2575.09
C000321;M000014;25/06/2023;25;9406.02
C000506;M000022;14/02/2023;14;6993.67
C000212;M000217;14/05/2024;63;25604.74
C000600;M000468;05/08/2023;31;3661.28
C000395;M000411;20/03/2023;78;16868.98
C000310;M000445;14/11/2023;61;13075.59
C000492;M000487;29/07/2023;2;54.72
C000147;M000569;21/03/2023;43;14943.72
C000619;M000397;02/08/2023;44;11807.31
C000981;M000619;25/06/2024;60;17884.45
C000145;M000806;07/08/2024;28;2005.74
C000618;M000287;28/07/2024;46;12378.24
C000109;M000235;28/11/2024;12;5641.84
C000244;M000991;12/07/2024;73;19575.62
C000694;M000691;04/11/2023;81;6560.03
C000477;M000818;25/08/2024;69;5085.13
C000932;M000384;17/05/2024;12;2955.12
C000013;M000304;24/08/2023;88;7856.66
C000885;M000273;16/11/2023;32;12089.69
C000561;M000170;07/07/2024;34;559.86
C000492;M000490;15/07/2024;45;7401.94
C000529;M000824;10/02/2024;59;16504.74
C000286;M000875;13/06/2023;85;7186.93
C000955;M000595;25/10/2023;58;22704.73
C000871;M000734;03/02/2024;35;12568.62
C000013;M000069;19/11/2023;72;14886.17
C000876;M000371;18/05/2023;80;8653.74
C000549;M000851;06/09/2023;13;4472.26
C000768;M000985;05/12/2023;52;8034.8
C000934;M000581;12/08/2024;53;5973.59
C000158;M000196;09/02/2024;31;4973.83
C000591;M000714;04/06/2023;96;6712.92
C000340;M000801;26/04/2023;66;10088.49
C000990;M000750;19/10/2023;11;1575.51
C000984;M000493;23/03/2024;73;28907.3
C000879;M000276;19/03/2023;66;1490.2
C000562;M000876;09/02/2023;52;11806.81
C000867;M000001;21/12/2023;4;494.99
C000776;M000092;13/07/2024;19;8506.62
C000267;M000920;05/06/2023;54;6323.86
C000835;M000230;05/04/2023;42;5617.93
C000444;M000224;07/10/2024;19;6991.0
C000433;M000234;11/02/2024;97;13972.21
C000809;M000012;10/02/2024;87;30789.43
C000347;M000047;12/12/2024;89;31626.55
C000384;M000055;08/06/2023;57;7758.25
C000811;M000101;23/04/2024;41;8131.32
C000068;M000539;28/03/2023;81;37880.53
C000567;M000067;23/03/2024;97;796.01
C000688;M000484;06/04/2023;45;10464.82
C000195;M000477;17/06/2024;37;8061.58
C000581;M000439;05/08/2023;52;5040.15
C000864;M000561;22/05/2023;94;9619.43
C000463;M000387;05/08/2023;21;7475.82
C000446;M000444;02/10/2023;41;7603.6
C000777;M000184;21/09/2023;31;15293.92
C000062;M000075;07/01/2023;74;23029.15
C000210;M000923;11/01/2024;44;5988.27
C000446;M000816;02/05/2024;45;16771.37
C000916;M000921;17/06/2023;24;7595.94
C000516;M000779;01/05/2024;86;6999.52
C000896;M000859;05/01/2023;55;567.29
C000696;M000520;01/02/2024;55;15718.86
C000442;M000591;01/08/2023;47;15559.88
C000564;M000100;05/07/2023;84;34034.6
C000724;M000051;06/10/2023;50;14761.69
C000237;M000749;05/12/2024;50;9762.36
C000413;M000427;04/07/2024;35;2628.63
C000171;M000267;12/04/2024;74;22115.97
C000770;M000164;08/01/2023;83;31548.71
C000605;M000398;24/02/2023;45;17767.55
C000531;M000239;20/07/2024;14;5323.05
C000501;M000254;17/11/2023;50;2131.26
C000060;M000073;29/04/2024;80;13762.24
C000771;M000739;19/05/2024;57;4766.86
C000880;M000247;30/09/2023;15;6533.26
C000156;M000496;16/05/2024;4;1869.26
C000069;M000068;11/07/2024;1;73.19
C000666;M000121;09/02/2024;57;14400.1
C000142;M000851;23/12/2024;80;35678.5
C000233;M000014;19/01/2023;77;32536.28
C000216;M000529;12/11/2023;73;3507.81
C000768;M000384;23/10/2024;74;9515.0
C000379;M000620;17/05/2023;83;8252.21
C000373;M000322;26/02/2023;71;28903.03
C000230;M000882;10/05/2023;14;1471.31
C000039;M000189;25/02/2023;65;434.08
C000339;M000821;09/09/2023;99;2258.43
C000244;M000352;11/01/2023;74;17275.43
C000698;M000842;25/07/2023;51;24263.49
C000497;M000964;13/10/2023;12;5492.09
C000318;M000172;28/05/2023;63;6288.6
C000968;M000705;15/12/2023;45;15001.57
C000318;M000456;29/05/2023;58;3992.73
C000461;M000570;04/12/2024;86;32053.71
C000617;M000952;12/06/2023;69;25559.07
C000547;M000799;16/09/2023;79;14874.61
C000678;M000564;24/08/2024;31;15456.84
C000631;M000720;31/03/2023;21;2602.06
C000843;M000503;08/08/2023;10;309.89
C000001;M000045;22/03/2024;87;26677.59
C000897;M000467;08/04/2023;95;37300.91
C000719;M000884;01/05/2024;68;31597.5
C000624;M000370;25/03/2023;17;7540.16
C000389;M000462;23/08/2024;26;11120.36
C000948;M000192;11/12/2024;35;1273.03
C000295;M000243;31/12/2023;46;3781.33
C000207;M000735;06/07/2024;87;36837.29
C000553;M000362;03/09/2024;53;11808.67
C000173;M000901;18/06/2024;13;1454.79
C000090;M000245;17/06/2023;1;6.35
C000936;M000783;24/02/2023;60;9862.28
C000765;M000830;29/04/2023;55;22522.48
C000386;M000703;18/10/2024;66;26005.37
C000994;M000133;27/07/2023;40;2030.07
C000316;M000795;13/03/2023;94;5960.48
C000151;M000295;05/08/2024;46;7428.85
C000891;M000422;25/10/2023;6;1619.56
C000536;M000624;21/11/2023;36;10734.43
C000585;M001000;07/02/2023;69;23217.99
C000759;M000753;04/07/2024;43;10168.61
C000263;M000463;05/07/2024;37;12017.59
C000912;M000460;14/07/2024;54;5511.81
C000062;M000104;22/04/2024;51;8861.17
C000889;M000678;23/01/2024;49;9347.18
C000939;M000276;06/08/2023;87;8259.5
C000605;M000826;22/02/2024;83;38216.6
C000795;M000405;14/01/2023;77;32617.25
C000240;M000168;28/02/2023;92;6703.6
C000937;M000072;17/04/2023;11;1536.52
C000789;M000107;25/10/2023;31;13702.46
C000212;M000265;23/05/2023;53;25871.58
C000386;M000057;06/01/2024;56;26836.14
C000444;M000941;24/04/2023;42;5718.14
C000448;M000909;02/11/2023;5;329.2
C000998;M000811;09/07/2023;80;31503.37
C000525;M000767;21/09/2023;64;4928.65
C000119;M000135;07/06/2024;84;26947.68
C000388;M000636;02/02/2023;67;22870.61
C000514;M000561;03/12/2024;66;31284.43
C000055;M000880;29/02/2024;89;42129.05
C000102;M000760;12/08/2023;33;12025.16
C000461;M000621;03/10/2024;78;30721.42
C000869;M000846;17/10/2023;100;19893.64
C000255;M000842;04/12/2023;69;23333.7
C000545;M000868;24/08/2024;41;17170.17
C000444;M000335;26/08/2023;67;1628.8
C000678;M000627;17/09/2024;16;3544.5
C000566;M000598;13/08/2023;39;12560.1
C000964;M000028;26/01/2024;17;3620.79
C000397;M000855;06/08/2024;48;14378.08
C000649;M000407;23/04/2024;82;25303.5
C000371;M000469;24/10/2024;40;11846.16
C000193;M000508;26/10/2024;63;17898.7
C000826;M000633;02/09/2024;26;502.28
C000167;M000391;18/03/2023;63;7336.38
C000306;M000898;11/10/2023;83;4366.35
