cliente;anno_mese;percentuale
C001480;202312;0,05
C001947;202407;0,05
C001407;202409;0,17
C000593;202409;0,08
C000812;202410;0,13
C001600;202410;0,12
C001478;202402;0,17
C001317;202402;0,03
C000895;202411;0,05
C000598;202411;0,06
C000761;202301;0,08
C000803;202410;0,07
C001760;202407;0,07
C001768;202305;0,14
C001949;202310;0,07
C001578;202311;0,1
C001978;202304;0,18
C000904;202409;0,09
C000232;202405;0,13
C001235;202406;0,19
C000865;202408;0,09
C001437;202312;0,05
C000262;202306;0,02
C001712;202311;0,15
C001266;202307;0,14
C001455;202306;0,19
C000098;202305;0,15
C000006;202306;0,03
C001675;202409;0,05
C001992;202301;0,04
C001322;202401;0,03
C001894;202410;0,18
C001107;202411;0,12
C000819;202409;0,02
C001737;202312;0,09
C001395;202301;0,16
C001829;202404;0,03
C001208;202406;0,07
C001121;202305;0,05
C000697;202407;0,14
C001798;202311;0,18
C001720;202407;0,08
C001018;202401;0,06
C001619;202408;0,07
C001858;202404;0,13
C001742;202407;0,04
C000626;202311;0,17
C000542;202408;0,03
C000640;202405;0,14
C000932;202303;0,17
C001915;202402;0,08
C000760;202405;0,11
C001910;202302;0,2
C000083;202301;0,12
C000110;202404;0,07
C001334;202411;0,1
C001460;202306;0,19
C001732;202405;0,15
C001605;202303;0,05
C000856;202310;0,13
C000837;202304;0,13
C001904;202403;0,13
C000024;202305;0,12
C000997;202304;0,11
C001150;202402;0,14
C000224;202409;0,08
C000456;202311;0,08
C000570;202306;0,12
C001542;202402;0,16
C000086;202408;0,1
C001776;202406;0,09
C001943;202304;0,07
C001540;202411;0,07
C000569;202304;0,02
C000146;202403;0,17
C000031;202409;0,17
C000503;202411;0,08
C000824;202305;0,1
C001976;202312;0,02
C000548;202401;0,19
C000788;202305;0,19
C000583;202411;0,11
C000618;202409;0,02
C001282;202405;0,1
C000797;202303;0,07
C001773;202405;0,06
C001637;202411;0,02
C000330;202301;0,09
C000522;202405;0,09
C000420;202304;0,12
C001680;202302;0,09
C000594;202304;0,05
C001819;202407;0,15
C001826;202305;0,09
C001795;202404;0,09
C001515;202407;0,07
C001582;202307;0,1
C001228;202303;0,06
C000053;202402;0,16
C001536;202406;0,18
C001178;202308;0,17
C001500;202404;0,14
C001962;202412;0,07
C001990;202411;0,15
C000986;202308;0,17
C000920;202412;0,09
C001369;202312;0,17
C001614;202407;0,05
C001409;202307;0,07
C000953;202301;0,13
C001471;202304;0,13
C001642;202304;0,07
C001305;202311;0,13
C000792;202408;0,05
C001697;202303;0,02
C000895;202404;0,03
C001314;202309;0,12
C001706;202302;0,05
C000846;202305;0,04
C001908;202407;0,07
C000348;202301;0,15
C000176;202405;0,15
C000474;202309;0,06
C000983;202304;0,05
C001162;202307;0,11
C000556;202308;0,08
C001869;202307;0,08
C001412;202302;0,16
C000991;202303;0,2
C001887;202406;0,1
C000915;202408;0,16
C000672;202402;0,08
C000327;202309;0,17
C001065;202311;0,19
C000739;202404;0,03
C001240;202407;0,16
C000511;202411;0,03
C001107;202404;0,1
C000105;202405;0,05
C001794;202312;0,17
C001824;202303;0,17
C001825;202303;0,17
C000729;202410;0,04
C001502;202310;0,16
C001962;202312;0,06
C001228;202311;0,16
C001325;202301;0,1
C001881;202307;0,15
C000343;202403;0,03
C001122;202312;0,1
C001868;202412;0,16
C000552;202304;0,11
C000073;202304;0,2
C001864;202411;0,11
C000320;202403;0,14
C001602;202304;0,08
C001697;202311;0,08
C001038;202304;0,13
C000663;202305;0,03
C000193;202412;0,19
C001378;202407;0,11
C000101;202305;0,07
C000289;202407;0,13
C001313;202410;0,06
C000989;202305;0,18
C001051;202412;0,18
C000950;202407;0,06
C001311;202409;0,04
C000716;202306;0,13
C000169;202305;0,08
C001834;202308;0,05
C000244;202312;0,07
C001956;202308;0,04
C001172;202402;0,16
C001119;202310;0,02
C000757;202410;0,03
C000291;202408;0,16
C000440;202409;0,11
C001799;202311;0,13
C000573;202301;0,09
C001544;202411;0,04
C000462;202307;0,05
C001291;202307;0,04
C000043;202412;0,13
C001545;202412;0,19
C000018;202401;0,2
C001222;202411;0,13
C000442;202311;0,03
C001350;202401;0,14
C001600;202307;0,15
C001064;202310;0,16
C001914;202410;0,04
C000949;202311;0,06
C001637;202404;0,2
C000560;202311;0,16
C001574;202401;0,16
C001014;202410;0,16
C000193;202312;0,1
C001198;202311;0,05
C001731;202407;0,14
C000870;202409;0,08
C000615;202305;0,04
C000731;202411;0,18
C000367;202301;0,11
C001577;202405;0,1
C001865;202410;0,07
C001552;202301;0,15
C000750;202305;0,05
C001894;202307;0,05
C001019;202409;0,08
C000365;202308;0,15
C001278;202308;0,07
C001922;202406;0,17
C001154;202309;0,18
C001183;202407;0,12
C001269;202405;0,03
C000027;202409;0,05
C001503;202401;0,07
C001728;202403;0,07
C000043;202312;0,09
C001293;202411;0,02
C000390;202305;0,13
C001239;202307;0,09
C000719;202308;0,05
C000496;202302;0,02
C001630;202401;0,17
C001832;202410;0,16
C001860;202406;0,06
C001101;202404;0,15
C001562;202312;0,14
C001801;202308;0,12
C000470;202407;0,09
C000300;202312;0,11
C001348;202304;0,11
C000852;202306;0,12
C000460;202404;0,13
C000714;202401;0,08
C001882;202404;0,14
C001089;202301;0,04
C001148;202408;0,11
C001386;202301;0,03
C001827;202304;0,17
C000511;202404;0,04
C001254;202412;0,18
C000997;202303;0,06
C000098;202406;0,11
C000589;202411;0,04
C001968;202310;0,12
C000879;202409;0,17
C001270;202408;0,14
C001442;202407;0,11
C001555;202406;0,15
C001099;202403;0,07
C000391;202406;0,09
C001121;202406;0,13
C000454;202304;0,03
C000127;202311;0,19
C000130;202411;0,06
C000763;202410;0,11
C000801;202407;0,18
C000929;202408;0,03
C001955;202412;0,16
C000686;202402;0,03
C001610;202411;0,12
C001772;202405;0,19
C000415;202308;0,09
C001921;202412;0,09
C000883;202304;0,15
C000566;202407;0,17
C000583;202402;0,07
C001619;202401;0,03
C001066;202412;0,03
C000590;202305;0,07
C000048;202408;0,19
C001651;202410;0,19
C001285;202411;0,04
C001222;202404;0,15
C001159;202410;0,12
C001428;202308;0,05
C000824;202406;0,11
C000788;202406;0,06
C000172;202307;0,13
C001241;202305;0,05
C000065;202408;0,15
C001432;202407;0,09
C000221;202304;0,04
C001201;202304;0,13
C001958;202309;0,08
C001267;202312;0,1
C000256;202401;0,14
C000086;202401;0,18
C001732;202306;0,05
C001164;202307;0,05
C001062;202403;0,09
C000661;202301;0,08
C000490;202310;0,05
C001427;202407;0,2
C000604;202412;0,1
C000741;202304;0,08
C000106;202412;0,08
C001519;202308;0,2
C001921;202312;0,08
C001598;202306;0,09
C001770;202403;0,16
C001383;202410;0,1
C001315;202403;0,15
C001276;202310;0,13
C000314;202412;0,12
C000594;202311;0,06
C001945;202412;0,16
C001066;202312;0,19
C001883;202303;0,07
C000341;202311;0,19
C001194;202305;0,1
C001293;202404;0,09
C001885;202403;0,15
C001497;202409;0,2
C001718;202410;0,13
C001231;202411;0,11
C001055;202310;0,2
C001459;202403;0,07
C001505;202405;0,07
C001694;202405;0,06
C000751;202403;0,17
C000552;202303;0,02
C001773;202306;0,17
C001101;202402;0,14
C001404;202302;0,07
C000977;202403;0,12
C000073;202303;0,12
C000972;202304;0,19
C000846;202406;0,05
C000245;202406;0,03
C001471;202311;0,08
C001262;202404;0,04
C000715;202411;0,09
C000587;202308;0,12
C001038;202303;0,06
C001882;202402;0,17
C001313;202307;0,04
C000312;202408;0,09
C000511;202402;0,19
C001946;202308;0,15
C001422;202312;0,15
C001939;202409;0,16
C001245;202309;0,05
C001023;202410;0,17
C001341;202412;0,14
C001543;202401;0,12
C000692;202301;0,18
C000757;202307;0,13
C001911;202310;0,07
C000863;202302;0,15
C001881;202405;0,12
C000636;202304;0,03
C000628;202405;0,03
C000388;202310;0,16
C000589;202404;0,08
C001844;202305;0,17
C001302;202406;0,09
C000609;202310;0,18
C001488;202411;0,18
C001288;202407;0,06
C000960;202406;0,14
C000056;202310;0,13
C001450;202401;0,02
C000130;202404;0,16
C000263;202408;0,09
C000239;202303;0,07
C000108;202305;0,03
C001783;202311;0,12
C000377;202407;0,05
C001130;202403;0,11
C000097;202303;0,06
C001397;202301;0,03
C000165;202302;0,15
C000830;202412;0,09
C000554;202412;0,1
C001879;202411;0,13
C000629;202310;0,11
C000101;202406;0,06
C000283;202303;0,07
C001126;202301;0,09
C001602;202311;0,04
C000957;202410;0,03
C000462;202405;0,12
C001805;202403;0,03
C001747;202307;0,09
C001534;202305;0,04
C001600;202405;0,11
C001933;202303;0,16
C000298;202410;0,04
C000175;202310;0,04
C001444;202309;0,12
C001994;202402;0,11
C000736;202301;0,14
C001103;202309;0,06
C001144;202412;0,13
C000090;202410;0,15
C001526;202409;0,06
C000338;202409;0,03
C000247;202305;0,16
C000299;202407;0,08
C000477;202304;0,19
C000811;202401;0,04
C000447;202302;0,14
C001364;202308;0,1
C000731;202402;0,08
C001612;202309;0,08
C000088;202310;0,13
C001359;202307;0,02
C000800;202308;0,07
C000942;202408;0,2
C001894;202405;0,13
C001348;202303;0,2
C000311;202302;0,1
C000615;202406;0,05
C001975;202402;0,03
C001995;202407;0,17
C000641;202304;0,06
C000205;202302;0,09
C001845;202308;0,16
C000890;202302;0,17
C001827;202303;0,04
C000750;202406;0,03
C000149;202405;0,19
C001193;202311;0,19
C001030;202408;0,18
C001231;202404;0,17
C000899;202409;0,02
C001144;202312;0,14
C001090;202401;0,04
C001866;202411;0,1
C000810;202407;0,02
C001262;202402;0,06
C000394;202312;0,12
C001623;202306;0,06
C000732;202304;0,11
C001150;202403;0,07
C000403;202310;0,11
C001132;202309;0,15
C001953;202404;0,05
C001530;202401;0,15
C001571;202311;0,02
C000042;202409;0,12
C001745;202310;0,14
C000369;202412;0,03
C001462;202311;0,05
C001954;202409;0,07
C000599;202405;0,16
C001153;202407;0,13
C000562;202301;0,03
C001890;202403;0,14
C001753;202407;0,02
C000534;202304;0,09
C000544;202309;0,07
C001573;202408;0,17
C000550;202402;0,14
C001348;202311;0,18
C001651;202307;0,02
C001067;202403;0,18
C001820;202406;0,14
C000061;202402;0,06
C000634;202408;0,09
C000348;202309;0,2
C001007;202304;0,04
C001314;202312;0,08
C000252;202402;0,18
C000230;202406;0,12
C000130;202402;0,05
C001079;202407;0,11
C000567;202305;0,1
C000876;202302;0,19
C001323;202308;0,02
C001942;202302;0,06
C001148;202401;0,12
C001457;202409;0,08
C000003;202405;0,09
C000221;202303;0,05
C000044;202309;0,08
C001266;202306;0,08
C001201;202303;0,13
C001370;202311;0,06
C001161;202306;0,2
C000908;202310;0,11
C000231;202308;0,17
C001529;202401;0,13
C000153;202305;0,18
C000746;202308;0,18
C001351;202401;0,17
C000369;202312;0,03
C001590;202310;0,12
C000202;202303;0,07
C000905;202411;0,05
C000309;202308;0,18
C001151;202307;0,14
C001744;202403;0,04
C000539;202407;0,09
C000741;202303;0,19
C001383;202307;0,13
C001252;202407;0,13
C000240;202301;0,06
C001660;202311;0,06
C001741;202408;0,05
C000955;202307;0,19
C001325;202309;0,18
C000547;202404;0,08
C001973;202310;0,12
C001283;202304;0,06
C000590;202406;0,04
C001248;202411;0,12
C001718;202307;0,16
C000608;202412;0,18
C000672;202403;0,08
C000408;202401;0,15
C001077;202307;0,11
C000747;202403;0,04
C001213;202402;0,2
C000897;202307;0,2
C001382;202308;0,05
C000492;202301;0,19
C000091;202304;0,19
C000774;202403;0,08
C001983;202402;0,12
C001487;202409;0,19
C001495;202304;0,04
C001772;202306;0,08
C001234;202406;0,18
C001951;202302;0,15
C001749;202411;0,16
C000048;202401;0,18
C000216;202304;0,09
C001620;202407;0,09
C000465;202308;0,1
C000729;202405;0,19
C000710;202408;0,18
C000075;202402;0,19
C000636;202303;0,07
C000286;202308;0,16
C000437;202310;0,04
C001072;202305;0,05
C000680;202411;0,16
C001287;202402;0,13
C001866;202404;0,07
C001796;202305;0,12
C001384;202311;0,06
C000433;202408;0,06
C001930;202302;0,14
C001303;202407;0,08
C000078;202408;0,14
C001937;202308;0,11
C001582;202306;0,11
C001967;202301;0,13
C001584;202304;0,15
C001839;202409;0,09
C000757;202405;0,17
C001692;202304;0,11
C000893;202309;0,04
C000807;202309;0,05
C001969;202410;0,03
C000972;202311;0,16
C000505;202303;0,02
C000985;202407;0,07
C001409;202306;0,09
C000310;202303;0,15
C000030;202306;0,2
C001774;202411;0,16
C000709;202312;0,03
C000685;202411;0,19
C001106;202401;0,2
C000926;202303;0,18
C000324;202307;0,11
C001603;202309;0,08
C001795;202403;0,1
C000681;202401;0,06
C001914;202405;0,09
C001199;202312;0,03
C000992;202410;0,15
C000834;202301;0,09
C001505;202306;0,08
C001694;202306;0,13
C001372;202310;0,15
C001869;202306;0,13
C000063;202403;0,11
C000998;202310;0,18
C000636;202311;0,16
C000888;202305;0,11
C001246;202407;0,1
C001613;202401;0,17
C001647;202309;0,03
C000684;202311;0,2
C000357;202401;0,11
C001394;202411;0,09
C000669;202405;0,15
C000353;202408;0,12
C001550;202310;0,11
C001386;202309;0,13
C001677;202310;0,03
C000818;202301;0,07
C001344;202404;0,09
C001053;202308;0,07
C000318;202412;0,17
C000524;202304;0,1
C001997;202305;0,1
C000423;202305;0,13
C001881;202306;0,03
C000392;202303;0,11
C001621;202310;0,05
C001517;202409;0,17
C001158;202408;0,1
C000641;202303;0,15
C000821;202312;0,04
C001355;202301;0,16
C001081;202408;0,19
C000823;202305;0,15
C000505;202311;0,04
C000263;202401;0,09
C001248;202404;0,1
C001803;202312;0,05
C000055;202311;0,13
C000666;202302;0,15
C001188;202304;0,06
C001118;202311;0,1
C000414;202411;0,07
C001318;202408;0,14
C001837;202402;0,18
C001322;202307;0,16
C000079;202310;0,15
C000192;202412;0,04
C001451;202303;0,04
C000938;202401;0,1
C000077;202301;0,09
C001321;202408;0,11
C001753;202409;0,09
C001749;202404;0,16
C000425;202301;0,11
C000013;202305;0,19
C001503;202410;0,09
C001227;202409;0,09
C000016;202404;0,16
C000462;202306;0,18
C001018;202307;0,12
C001291;202306;0,14
C000922;202409;0,05
C000318;202312;0,18
C000209;202410;0,05
C001060;202405;0,15
C000534;202303;0,1
C000137;202301;0,08
C001600;202306;0,16
C001371;202411;0,1
C001866;202402;0,13
C000680;202404;0,04
C001453;202309;0,04
C001688;202411;0,06
C000002;202304;0,13
C000753;202305;0,07
C000864;202311;0,1
C001447;202303;0,17
C000686;202403;0,12
C001540;202403;0,02
C000515;202407;0,18
C000192;202312;0,06
C000112;202412;0,13
C000665;202310;0,11
C000548;202307;0,09
C001894;202306;0,03
C001774;202404;0,13
C000732;202311;0,06
C001721;202411;0,12
C001458;202308;0,13
C000155;202304;0,12
C000865;202410;0,17
C000718;202407;0,03
C000149;202306;0,05
C001239;202306;0,14
C001867;202309;0,03
C000019;202411;0,17
C001136;202310;0,14
C001238;202404;0,17
C000702;202401;0,07
C001127;202309;0,19
C001657;202411;0,03
C001041;202302;0,1
C000571;202402;0,05
C001447;202311;0,14
C001757;202409;0,13
C000200;202309;0,14
C000905;202402;0,13
C000658;202405;0,16
C000091;202303;0,05
C001452;202408;0,1
C001344;202402;0,12
C001383;202405;0,19
C000599;202306;0,04
C000541;202401;0,07
C001918;202310;0,09
C000692;202309;0,09
C001184;202309;0,03
C000199;202305;0,1
C000068;202409;0,12
C001966;202407;0,07
C001722;202403;0,04
C000216;202303;0,15
C000925;202309;0,07
C000634;202401;0,11
C000139;202308;0,11
C000004;202401;0,15
C001508;202305;0,13
C001925;202408;0,04
C001891;202302;0,15
C000835;202312;0,13
C001764;202311;0,2
C001406;202412;0,11
C001842;202303;0,14
C000934;202406;0,19
C000460;202403;0,2
C001944;202411;0,07
C001522;202312;0,13
C000467;202408;0,08
C000086;202410;0,11
C000897;202405;0,2
C000659;202308;0,08
C001466;202411;0,04
C001625;202308;0,12
C001607;202410;0,11
C000414;202404;0,13
C001131;202402;0,11
C001779;202308;0,05
C001236;202310;0,13
C000337;202410;0,15
C000617;202401;0,2
C000003;202306;0,02
C001749;202402;0,02
C001687;202304;0,13
C001304;202403;0,04
C000241;202408;0,17
C001283;202311;0,16
C001981;202406;0,2
C001786;202407;0,09
C001023;202405;0,08
C000016;202402;0,12
C001584;202303;0,13
C000154;202303;0,02
C000157;202310;0,06
C001969;202307;0,07
C001648;202307;0,16
C001730;202310;0,08
C000570;202301;0,11
C001514;202412;0,08
C001249;202311;0,02
C001910;202304;0,14
C001022;202401;0,08
C001751;202302;0,15
C000940;202412;0,13
C001734;202410;0,03
C000896;202311;0,05
C000909;202305;0,08
C001468;202403;0,08
C000576;202306;0,14
C000512;202406;0,18
C000943;202307;0,16
C001406;202312;0,14
C001585;202412;0,11
C001169;202305;0,13
C001611;202404;0,18
C000831;202304;0,12
C001950;202409;0,08
C000057;202307;0,16
C001587;202402;0,09
C000767;202412;0,15
C001469;202411;0,17
C001210;202302;0,07
C001842;202311;0,15
C000084;202409;0,08
C000121;202412;0,12
C000748;202301;0,06
C001222;202403;0,14
C000416;202312;0,16
C000787;202310;0,18
C001221;202407;0,08
C000645;202407;0,19
C000710;202401;0,07
C000272;202302;0,03
C000685;202402;0,2
C000258;202308;0,13
C000931;202301;0,17
C001350;202307;0,12
C000324;202405;0,09
C001507;202412;0,13
C001680;202304;0,18
C000131;202410;0,16
C000450;202308;0,15
C000913;202309;0,08
C000223;202306;0,03
C000780;202405;0,09
C000298;202405;0,11
C000940;202312;0,06
C001450;202410;0,1
C000915;202410;0,19
C001655;202409;0,06
C001574;202307;0,07
C000154;202311;0,04
C000744;202305;0,16
C000582;202407;0,16
C000720;202304;0,18
C000019;202404;0,1
C001300;202410;0,02
C001238;202402;0,11
C000090;202405;0,11
C000906;202407;0,05
C001585;202312;0,19
C001652;202310;0,15
C000954;202401;0,11
C000501;202409;0,16
C001667;202406;0,05
C000520;202311;0,18
C000568;202311;0,17
C000722;202308;0,19
C001366;202409;0,14
C001188;202303;0,04
C001975;202403;0,15
C001016;202411;0,1
C001337;202310;0,15
C001934;202403;0,11
C000396;202410;0,02
C000888;202406;0,19
C000754;202411;0,14
C001916;202410;0,13
C001306;202409;0,04
C001435;202412;0,1
C001699;202409;0,03
C000503;202304;0,11
C001412;202304;0,14
C001262;202403;0,08
C000372;202409;0,12
C001124;202407;0,08
C001831;202301;0,18
C000544;202312;0,08
C001358;202404;0,05
C000811;202410;0,07
C001491;202401;0,08
C000734;202309;0,1
C000423;202406;0,04
C000414;202402;0,05
C000164;202310;0,07
C001914;202306;0,02
C001466;202404;0,13
C000584;202411;0,11
C000956;202402;0,06
C000074;202310;0,08
C000969;202402;0,08
C000002;202303;0,05
C000714;202307;0,15
C001528;202406;0,07
C001233;202402;0,06
C000466;202409;0,03
C000678;202307;0,13
C000762;202308;0,08
C000845;202412;0,1
C000669;202306;0,04
C001513;202411;0,1
C000673;202407;0,14
C000452;202302;0,04
C000167;202309;0,03
C001835;202305;0,1
C001018;202405;0,05
C001747;202306;0,13
C000649;202405;0,13
C001425;202409;0,17
C001081;202401;0,15
C000410;202308;0,13
C000252;202403;0,08
C000130;202403;0,17
C001385;202410;0,15
C001090;202410;0,14
C000605;202304;0,12
C001365;202412;0,2
C000161;202412;0,16
C001349;202404;0,1
C000944;202311;0,04
C000124;202401;0,17
C001611;202402;0,19
C000270;202404;0,1
C000705;202409;0,1
C000155;202303;0,14
C001047;202304;0,15
C001173;202310;0,1
C000504;202406;0,06
C001373;202404;0,06
C001429;202301;0,17
C000274;202409;0,13
C001218;202410;0,18
C001622;202408;0,09
C000912;202303;0,15
C001264;202407;0,14
C001465;202310;0,16
C000548;202405;0,18
C000195;202303;0,1
C001633;202402;0,03
C001619;202307;0,11
C000459;202305;0,08
C000845;202312;0,1
C000110;202303;0,05
C001966;202409;0,16
C000806;202412;0,13
C001422;202308;0,04
C000740;202310;0,04
C000817;202308;0,17
C000290;202311;0,16
C000889;202302;0,08
C000076;202402;0,14
C001060;202306;0,16
C001410;202311;0,12
C000314;202308;0,09
C000525;202310;0,09
C000516;202407;0,13
C001177;202401;0,12
C000181;202407;0,2
C000930;202310;0,09
C001148;202410;0,08
C000198;202305;0,17
C000526;202411;0,13
C001952;202407;0,16
C001855;202305;0,1
C001232;202409;0,16
C001115;202401;0,12
C001897;202309;0,06
C000763;202306;0,14
C000444;202302;0,03
C001100;202302;0,19
C001270;202410;0,12
C001715;202408;0,11
C000225;202412;0,13
C001604;202404;0,1
C001320;202412;0,12
C000816;202401;0,17
C001231;202403;0,05
C000427;202405;0,19
C000188;202308;0,03
C000754;202404;0,04
C001687;202303;0,17
C000269;202302;0,16
C000543;202409;0,09
C001596;202410;0,11
C001346;202302;0,14
C001696;202310;0,04
C000806;202312;0,17
C000903;202301;0,18
C001480;202409;0,18
C001531;202307;0,13
C000929;202410;0,02
C001651;202306;0,05
C001594;202404;0,05
C001544;202304;0,12
C001953;202403;0,09
C000699;202408;0,12
C000199;202406;0,06
C001754;202309;0,14
C000160;202304;0,08
C001734;202307;0,12
C001104;202412;0,18
C001159;202306;0,07
C000227;202412;0,19
C000485;202305;0,1
C001703;202401;0,2
C001603;202312;0,08
C001508;202406;0,04
C000035;202408;0,02
C001561;202409;0,2
C001628;202401;0,09
C001929;202305;0,04
C000048;202410;0,07
C000307;202409;0,09
C000533;202406;0,12
C001513;202404;0,03
C000225;202312;0,15
C000243;202401;0,17
C000658;202306;0,08
C001793;202409;0,18
C001151;202306;0,18
C001969;202405;0,06
C001648;202405;0,15
C001197;202309;0,09
C000304;202307;0,08
C000951;202411;0,09
C001417;202406;0,09
C001830;202401;0,12
C000880;202308;0,14
C001504;202404;0,11
C001349;202402;0,05
C001896;202310;0,09
C000270;202402;0,19
C000395;202407;0,17
C001680;202303;0,05
C001879;202403;0,2
C000370;202410;0,14
C000915;202307;0,04
C001414;202401;0,03
C001691;202308;0,02
C001293;202304;0,15
C001373;202402;0,11
C001469;202402;0,1
C001212;202305;0,2
C000937;202402;0,04
C000909;202406;0,14
C001557;202412;0,09
C001910;202311;0,1
C000656;202409;0,16
C001169;202406;0,13
C001274;202412;0,1
C000559;202403;0,05
C000982;202408;0,11
C000760;202301;0,12
C000206;202401;0,1
C000547;202403;0,08
C001936;202408;0,05
C000396;202307;0,13
C000690;202311;0,12
C001732;202301;0,17
C000156;202312;0,06
C001706;202303;0,11
C001338;202310;0,09
C000087;202309;0,12
C001052;202309;0,09
C001598;202301;0,2
C001574;202405;0,12
C000733;202405;0,15
C001310;202305;0,04
C001702;202411;0,11
C000197;202404;0,14
C000822;202410;0,05
C000071;202401;0,15
C001898;202401;0,2
C000177;202311;0,2
C000811;202307;0,16
C000503;202303;0,1
C000350;202401;0,03
C000482;202411;0,18
C001171;202404;0,04
C000958;202401;0,11
C001884;202408;0,15
C000118;202312;0,19
C001814;202305;0,03
C001282;202301;0,13
C000494;202407;0,16
C001773;202301;0,08
C000585;202308;0,03
C001724;202302;0,08
C001274;202312;0,16
C000385;202401;0,1
C001866;202403;0,11
C000263;202410;0,1
C001125;202408;0,15
C001369;202409;0,1
C000324;202306;0,19
C000703;202409;0,16
C001630;202405;0,07
C000376;202302;0,03
C000780;202306;0,19
C000455;202412;0,15
C001902;202401;0,15
C000714;202405;0,12
C000863;202304;0,03
C001559;202312;0,11
C000315;202412;0,05
C000176;202301;0,03
C001047;202303;0,2
C000461;202307;0,17
C001412;202311;0,13
C001114;202406;0,07
C001005;202302;0,03
C000457;202304;0,11
C000737;202309;0,17
C000235;202409;0,07
C001069;202409;0,04
C000712;202408;0,07
C000935;202302;0,17
C000451;202401;0,02
C000123;202411;0,04
C000951;202404;0,05
C000564;202305;0,13
C000825;202305;0,05
C001790;202402;0,1
C001184;202312;0,17
C000920;202409;0,07
C001835;202406;0,15
C001632;202408;0,11
C001848;202302;0,16
C000105;202301;0,18
C000978;202407;0,08
C000770;202409;0,04
C000571;202403;0,05
C001148;202307;0,19
C000905;202403;0,05
C000429;202411;0,11
C001185;202409;0,2
C001344;202403;0,16
C000038;202312;0,06
C000689;202311;0,1
C001295;202402;0,13
C001619;202405;0,06
C001658;202411;0,15
C000510;202304;0,08
C001309;202304;0,14
C001030;202410;0,16
C001403;202310;0,04
C001663;202308;0,05
C000066;202411;0,09
C001596;202307;0,07
C000570;202309;0,15
C001787;202405;0,16
C000496;202303;0,12
C001009;202309;0,09
C000929;202307;0,15
C001131;202403;0,11
C001171;202402;0,05
C001928;202408;0,18
C000725;202310;0,02
C000256;202405;0,19
C000160;202303;0,1
C001607;202405;0,14
C000311;202304;0,19
C001200;202309;0,14
C001242;202308;0,03
C001609;202302;0,19
C000337;202405;0,13
C000193;202409;0,19
C001567;202310;0,1
C000198;202406;0,19
C001623;202301;0,17
C000809;202305;0,08
C000727;202304;0,07
C001782;202408;0,04
C001140;202401;0,14
C000634;202410;0,09
C000479;202401;0,16
C001329;202304;0,15
C000676;202412;0,15
C000067;202408;0,13
C001531;202405;0,06
C001168;202312;0,08
C000924;202312;0,14
C001857;202308;0,05
C001734;202405;0,12
C001998;202404;0,14
C000766;202404;0,17
C001074;202310;0,02
C001982;202407;0,04
C000913;202312;0,04
C001746;202410;0,1
C000791;202308;0,06
C000927;202310;0,07
C001269;202301;0,05
C000370;202307;0,02
C000331;202304;0,04
C000509;202404;0,19
C001401;202406;0,14
C001393;202309;0,17
C000261;202412;0,19
C001250;202403;0,13
C000300;202409;0,15
C001022;202410;0,04
C001705;202305;0,17
C001266;202301;0,04
C000951;202402;0,14
C001106;202307;0,18
C000676;202312;0,12
C000123;202404;0,19
C000876;202304;0,18
C001147;202303;0,15
C001807;202411;0,07
C000347;202302;0,1
C001057;202402;0,19
C000990;202405;0,13
C000179;202306;0,19
C001301;202412;0,07
C001641;202302;0,1
C001219;202312;0,18
C001463;202412;0,16
C000147;202305;0,08
C000915;202405;0,05
C001547;202304;0,03
C001569;202310;0,16
C000268;202312;0,09
C001039;202304;0,08
C001917;202409;0,03
C001021;202409;0,19
C000089;202302;0,07
C000734;202312;0,1
C001592;202411;0,11
C000804;202401;0,19
C000357;202307;0,13
C001686;202409;0,05
C001139;202407;0,11
C000710;202410;0,05
C000518;202406;0,16
C000401;202310;0,06
C001448;202412;0,14
C001639;202306;0,18
C000596;202302;0,15
C001735;202302;0,04
C000017;202403;0,03
C000051;202309;0,12
C000204;202305;0,07
C000853;202401;0,1
C001063;202310;0,18
C000638;202310;0,05
C001028;202302;0,14
C001648;202306;0,19
C000346;202310;0,14
C001772;202301;0,07
C000414;202403;0,15
C001610;202303;0,18
C000433;202410;0,12
C001615;202409;0,11
C000263;202307;0,19
C001689;202412;0,11
C001301;202312;0,1
C000120;202412;0,17
C000319;202302;0,16
C000811;202405;0,16
C000508;202406;0,12
C000850;202404;0,02
C001714;202301;0,19
C000253;202408;0,17
C000291;202405;0,11
C001590;202406;0,12
C001357;202411;0,19
C000072;202404;0,08
C001951;202304;0,14
C001638;202310;0,09
C001044;202411;0,13
C001316;202402;0,19
C000057;202306;0,04
C000982;202401;0,12
C001429;202309;0,19
C000159;202310;0,03
C000863;202303;0,1
C001973;202406;0,16
C001955;202409;0,14
C001202;202304;0,05
C000697;202309;0,03
C000457;202303;0,09
C000980;202401;0,05
C000189;202309;0,15
C000858;202411;0,18
C001926;202412;0,13
C000644;202308;0,08
C001431;202305;0,04
C001611;202403;0,13
C000941;202304;0,15
C000327;202407;0,05
C001998;202402;0,05
C000766;202402;0,15
C000965;202304;0,13
C000704;202401;0,11
C001775;202402;0,03
C001263;202304;0,12
C001530;202405;0,08
C000493;202308;0,12
C000795;202402;0,17
C000165;202303;0,1
C001650;202404;0,2
C000779;202305;0,03
C000509;202402;0,03
C001840;202408;0,16
C000434;202408;0,03
C001339;202312;0,04
C001633;202403;0,17
C000039;202412;0,14
